Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,Real Address,BBL,X coordinate,y coordinate
9814211,DUNKIN DONUTS,1916 FLATBUSH AVE,,BROOKLYN,Kings,,,,
1408853,RIKERS ISLAND,19-19 HAZEN ST,,EAST ELMHERST,Bronx,,,,
2268,ROSE M SINGER CENTER,19-19 HAZEN STREET,RIKERS ISLAND,EAST ELMHURST,Queens,,,,
1607519,COMMERCIAL - PHASE II,1931 WEST FARMS RD,,BRONX,Bronx,,,,
1701115,TANK TEST FAILURE,193-10 PECK AVE,,FRESH MEADOWS,Kings,,,,
9406497,MOBIL STATION #17-EQ5,1935 LINDEN BLVD,,BROOKLYN,Kings,,,,
1700206,PARTS ARE US,1937 FLUSHING AVE,,QUEENS,Queens,,,,
9608782,19-41 42ND STREET -MTBE,19-41 42ND STREET,,ASTORIA,Queens,19-19 42nd Street ,Q/789/15,,
9608782,19-41 42ND STREET -MTBE,19-41 42ND STREET,,ASTORIA,Queens,19-19 42nd Street ,Q/789/15,,
9608782,19-41 42ND STREET -MTBE,19-41 42ND STREET,,ASTORIA,Queens,19-19 42nd Street ,Q/789/15,,
9912738,LONG TERM #6 OIL SPILL,1950 HUTCHINSON RIVER P,,BRONX,Bronx,,,,
1105428,HOLLISWOOD CARE CENTER INC,195-44 WOODHULL AVENUE,"HOLLIS, NY 11423",HOLLIS,Queens,,,,
312910,WASHINGTON HOUSES -NYCHA,1955 SECOND AVE,,MANHATTAN,New York,,,,
312910,WASHINGTON HOUSES -NYCHA,1955 SECOND AVE,,MANHATTAN,New York,,,,
1502937,TTF - APT BUILDING,1966 NEW BOLD AVE,,BRONX,Bronx,,,,
603334,FORMER O.Z. ELECTRIC & MANUFACTURING COMPANY,198 DOUGLASS ST, ,BROOKLYN,Kings,,,,
603334,FORMER O.Z. ELECTRIC & MANUFACTURING COMPANY,198 DOUGLASS ST, ,BROOKLYN,Kings,,,,
9801718,GAS STATION CITYGAS -MTBE,1981 OCEAN AVENUE,,BROOKLYN,Kings,,,,
9801718,GAS STATION CITYGAS -MTBE,1981 OCEAN AVENUE,,BROOKLYN,Kings,,,,
9801718,GAS STATION CITYGAS -MTBE,1981 OCEAN AVENUE,,BROOKLYN,Kings,,,,
1305446,#2 FUEL OIL SPILL FROM FILL PIPE,41 ELLIOT PLACE,,BRONX,Bronx,,,,
9405559,CUNNINGHAM PARK GARAGE DPR -DDC,199-02 UNION TURNPIKE,,FLUSHING,Queens,,,,
1310363,ASTTORIA COMPLEX,19TH DRIVE AND 21ST ST,,QUEENS,Queens,,,,
9405010,BETH ISRAEL-1ST AVE & 15 ,"1ST AVE / 15TH, 16TH ST",,MANHATTAN,New York,,,,
1510272,EXCAVATION SITE,1ST AVE SERVICE RD/ N OF 125TH STREET,,MANHATTEN,New York,,,,
502317,MAN HOLE  56509,1ST AVE/ E 39TH ST, ,MANHATTAN,New York,,,,
1802175,SOIL,2 BLOOMFIELD ST,,MANHATTAN,New York,,,,
203816,"SQUARE ARCH REALTY, CORP - MISC",2 FIFTH AVE,,MANHATTAN,New York,,,,
9830001,FORMER JAYER PLATING,2 INGRAHAM ST,,BROOKLYN,Kings,,,,
9830001,FORMER JAYER PLATING,2 INGRAHAM ST,,BROOKLYN,Kings,,,,
9890,RICHMOND BURROW GARAGE,2 MULDOON AVE,,STATEN ISLAND,Richmond,,,,
1405234,COMMERCIAL PROPERTY,2 W 46 ST,,NEW YORK,New York,,,,
1112253,TRACY TOWERS,20 & 40 WEST MOSHOLU PARKWAY SOUTH,,BRONX,Bronx,,,,
1803102,APT BUILDING,20 CONTINENTAL AVE,,QUEENS,Queens,,,,
1800443,RESIDENTIAL,20 CONTINENTAL AVE,,FOREST HILL,Queens,,,,
1302432,VACANT COMMERCIAL USE LOT/FUTURE RESTAURANT,20 OLD FULTON ST,,BROOKLYN,Kings,,,,
1601262,ON THE PAVEMENT,20 VESEY STREET,,NEW YORK,New York,,,,
1304704,LOT,200 EAST 39TH STREET,,NEW YORK,New York,,,,
9209135,MORGAN OIL TERMINAL,200 MORGAN AVENUE, ,BROOKLYN,Kings,,,,
905569,MARINE TERRACE APTS BLDG 820,20-01 19TH STREET,,ASTORIA,Queens,,,,
9508197,FORMER GASETERIA,20-01 31ST STREET,,ASTORIA,Queens,,,,
9508197,FORMER GASETERIA,20-01 31ST STREET,,ASTORIA,Queens,,,,
9714266,GETTY SVC #58415 - GETTY PROPERTIES,2001 GRAVESEND NECK ROAD,,BROOKLYN,Kings,,,,
1406875,APARTMENT BLDG,2001 STORY AVENUE,,,Bronx,,,,
1102139,APT COMPLEX - TTF,2002 AVENUE J,,BROOKLYN,Kings,,,,
9305581,20-21 31TH AVENUE,20021 31TH AVENUE,,ASTORIA,Queens,,,,
1700767,RITE OF WAY,20-05 SHORE BLVD,,QUEENS,Queens,,,,
1300604,APT COMPLEX,201 EAST 15TH ST,,NEW YORK CITY,New York,,,,
9407396,47 PRECINCT NYPD -DDC,4111 LACONIA AVENUE,,BRONX,Bronx,,,,
1705460,UNDERGROUND  TRANSFORMER,201 WEST 48TH ST,,MANHATTEN,New York,,,,
1702593,IN ROAD,2011 CICERO AVE,,BRONX,Bronx,,,,
1109339,DDC BROOKLYN EAST 13,2012 NEPTUNE AVE,,BROOKLYN,Kings,,,,
1215372,APARTMENT BLDG,2015 SHORE PARKWAY,,BROOKLYN,Kings,,,,
1504506,GROUNDWATER,202 NORTH 10TH ST,,BROOKLYN,Kings,,,,
1706043,IN THE SOIL,202-06 HILLSIDE AVE,,HOLLIS,Queens,,,,
9713740,CUMBERLAND FARMS EXXON,202-06 THRU 202-16 HILLSIDE AVE,,HOLLIS,Queens,,,,
1205843,APT BLD 203 - TTF,203 WEST 131ST ST,,NEW YORK (MANHATTAN),New York,,,,
1703136,VACANT LOT,204 EAST 126TH ST,,MANHATTAN,New York,,,,
910346,910 EAST 172 ST LLC,910 EAST 172 ST,(1503 - 1517 SOUTHERN BLVD),BRONX,Bronx,,,,
9509121,2040 8TH AVE,2040 8TH AVE,2040 FREDERICK DOUGLASS BLVD,NEW YORK,New York,2040 Frederick Douglass Boulevard,M/1826/7503,,
9802162,SHELL SERVICE STATION,2040 WHITE PLAINS ROAD,2040 WHITE PLAINS RD,BRONX,Bronx,,,,
9605719,FORMER HESS STATION 32530,204-222 4TH AVENUE,AKA SPEEDWAY #7835,BROOKLYN,Kings,,,,
9605719,FORMER HESS STATION 32530,204-222 4TH AVENUE,AKA SPEEDWAY #7835,BROOKLYN,Kings,,,,
1509875,930 GRAND CONCOURSE,930 GRAND GONCOURSE,,BRONX,Bronx,,,,
1700919,RESIDENCE,2062 61ST ST,,BROOKLYN,Kings,,,,
907859,CUMBERLAND FARMS INC/FUTURE TD BANK,2063 RALPH AVE,,BROOKLYN,Kings,,,,
204576,GASETERIA,2063 STILLWELL AVE,,BROOKLYN,Kings,,,,
1800385,204 WITHERS STREET LLC,204 WITHERS ST,,BROOKLYN,Kings,,,,
1703314,COMMERCIAL,207 EAST 125 TH ST,,MANHATTAN,New York,,,,
1409694,PETROLEUM CONTAMINATED GROUNDWATER,207 NORTH 8TH STREET,,BROOKLYN,Kings,,,,
1801125,VAULT #V2480,207 WEST 41ST ST,,MANHATTAN,New York,,,,
1402603,NORHTERN BLVD DODGE,209-01/35 NORTHERN BLVD,,BAYSIDE,Queens,,,,
9404500,ASTORIA COMPLEX,20TH & 21ST STREET,,ASTORIA,Queens,,,,
9404500,ASTORIA COMPLEX,20TH & 21ST STREET,,ASTORIA,Queens,,,,
9514532,20TH & 23RD STS,20TH & 23RD ST UNDER FDR,,MANHATTAN,New York,,,,
9602729,ASTORIA COMPLEX,20TH AV & 21ST ST,,QUEENS,Queens,,,,
9516413,ASTORIA COMPLEX,20TH AVE & 21ST ST,,NEW YORK,Queens,,,,
9107209,ASTORIA FUEL OIL FARM,20TH AVE & 21ST ST,,NEW YORK,Queens,,,,
9410766,ASTORIA STATION,20TH AVE & 21ST ST,,NEW YORK,Queens,,,,
9603099,CON ED,20TH AVE & 31ST ST,,QUEENS,Queens,,,,
9306571,ASTORIA GENERATING STA.,20TH AVE & 31TH ST,,QUEENS,Queens,,,,
9604811,ASTORIA COMPLEX,20TH AVE 31ST ST,,NEW YORK CITY,Queens,,,,
9713695,ASTORIA FACILITY,20TH AVENUE & 21ST STREET,,ASTORIA,Queens,,,,
9414140,ASTORIA FACILITY,20TH AVENUE & 21ST STREET,,QUEENS,Queens,,,,
9307505,ASTORIA GEN STATION,20TH AVENUE & 21ST STREET,,ASTORIA,Queens,,,,
9405488,ASTORIA GEN. STATION,20TH AVENUE & 21ST STREET,,ASTORIA,Queens,,,,
9413651,ASTORIA PLANT,20TH AVENUE & 21ST STREET,,ASTORIA,Queens,,,,
9700881,ASTORIA GAS TURBINES,20TH AVENUE & 31ST STREET,,ASTORIA,Queens,,,,
9811770,ASTORIA GAS TURBINE SITE,20TH AVENUE 31ST STREET,,ASTORIA,Queens,,,,
9516432,20TH AVENUE AT 21ST STREE,20TH AVENUE AT 21ST STREE,,QUEENS,Queens,,,,
9214141,ASTORIA FUEL OIL FARM,20TH AVENUE/21ST STREET,,ASTORIA,Queens,,,,
9800959,ASTORIA SUBSTATION,20TH AVENUE/31ST STREET,,ASTORIA,Queens,,,,
102156,PETER COOPER VILLAGE,20TH STREET/FIRST AVE,,MANHATTAN,New York,,,,
712062,MH # 12778,21 STREET  &  41 AVENUE,,QUEENS,Queens,,,,
1209191,TANK IN SIDE YARD,210 EAST 8TH RD,AFFECTED 208 E 8TH RD,BROADCHANNEL,Queens,,,,
1610374,207 25TH STREET,207 25TH STREET,,BROOKLYN,Kings,,,,
907379,BP SERVICE STATION 10982,2111 ATLANTIC AVE,,BROOKLYN,Kings,,,,
1711702,STAR AUTO,211-52 JAMAICA AVE,,QUEENS,Queens,,,,
1800836,SOIL,21-17 JACKSON AVE,,LONG ISLAND CITY,Queens,,,,
512745,BP#13405,212-01 HILLSIDE AVE, ,HOLLIS,Queens,,,,
412635,AMOCO GAS STATION,2121 FOREST AVENUE,,STATEN ISLAND,Richmond,,,,
1109743,APT BUILDING - TTF,2121 PAULDING AVE,,BRONX,Bronx,,,,
1803146,STREET,2123 GLESON AVE,,BRONX,Bronx,,,,
702930,TRINITY LUTHERAN CHURCH,2125 WATSON AVE, ,BRONX,Bronx,,,,
1703169,REPAIR SHOP BUILDING,213 EAST 125TH ST,,MANHATTAN,New York,,,,
1707067,BASEMENT,2135 27TH ST,,QUEENS,Queens,,,,
1802553,VAULT 5644,2135 WEST 22ND ST,,MANHATTAN,New York,,,,
1503069,PHASE 2,2135 WESTCHESTER AVE,,BRONX,Bronx,,,,
9910798,NORTH 1ST ST TERMINAL    ,214 KENT AVENUE,,BROOKLYN,Kings,,,,
1802443,REDEVELOPMENT SITE,214-38 42ND AVE,,QUEENS,Queens,,,,
1711465,COMMERCIAL,215 WASHINGTON ST,,MANHATTAN,New York,,,,
9930020,"BROTHERS FOREIGN CAR SPECIALISTS, INC",2151 FOREST AVENUE,,STATEN ISLAND,Richmond,,,,
9930020,"BROTHERS FOREIGN CAR SPECIALISTS, INC",2151 FOREST AVENUE,,STATEN ISLAND,Richmond,,,,
